model,pen,complexity,contrast
K=01,0.004,4,7.02975
K=02,0.009,9,6.16194
K=03,0.014,14,5.22071
K=04,0.019,19,5.17469
K=05,0.024,24,5.13399
K=06,0.029,29,5.08707
K=07,0.034,34,5.05738
K=08,0.039,39,5.02772
K=09,0.044,44,4.99665
K=10,0.049,49,4.95389
K=11,0.054,54,4.91258
K=12,0.059,59,4.87579
K=13,0.064,64,4.84695
K=14,0.069,69,4.81715
K=15,0.074,74,4.79572
K=16,0.079,79,4.77366
K=17,0.084,84,4.76551
K=18,0.089,89,4.71792
K=19,0.094,94,4.68706
K=20,0.099,99,4.65812
K=21,0.104,104,4.62846
K=22,0.109,109,4.61731
K=23,0.114,114,4.60916
K=24,0.119,119,4.60111
K=25,0.124,124,4.59352
K=26,0.129,129,4.5863
K=27,0.134,134,4.57808
K=28,0.139,139,4.56577
K=29,0.144,144,4.55665
K=30,0.149,149,4.54879
K=31,0.154,154,4.54181
K=32,0.159,159,4.5352
K=33,0.164,164,4.52863
K=34,0.169,169,4.52191
K=35,0.174,174,4.51682
K=36,0.179,179,4.51065
K=37,0.184,184,4.50457
K=38,0.189,189,4.49878
K=39,0.194,194,4.49302
K=40,0.199,199,4.48762
K=41,0.204,204,4.47945
K=42,0.209,209,4.47378
K=43,0.214,214,4.46856
K=44,0.219,219,4.46361
K=45,0.224,224,4.45748
K=46,0.229,229,4.45257
K=47,0.234,234,4.44579
K=48,0.239,239,4.43715
K=49,0.244,244,4.43252
K=50,0.249,249,4.41842
